date,location,age_group,value
2020-11-22,GM02,00-04,7
2020-11-22,GM02,00+,1303
2020-11-22,GM02,05-14,5
2020-11-22,GM02,15-34,94
2020-11-22,GM02,35-59,247
2020-11-22,GM02,60-79,444
2020-11-22,GM02,80+,506
2020-11-22,GM09,00-04,0
2020-11-22,GM09,00+,63
2020-11-22,GM09,05-14,0
2020-11-22,GM09,15-34,3
2020-11-22,GM09,35-59,12
2020-11-22,GM09,60-79,18
2020-11-22,GM09,80+,30
2020-11-22,GM16,00-04,7
2020-11-22,GM16,00+,502
2020-11-22,GM16,05-14,6
2020-11-22,GM16,15-34,47
2020-11-22,GM16,35-59,108
2020-11-22,GM16,60-79,186
2020-11-22,GM16,80+,148
2020-11-22,GM11,00-04,1
2020-11-22,GM11,00+,218
2020-11-22,GM11,05-14,2
2020-11-22,GM11,15-34,9
2020-11-22,GM11,35-59,41
2020-11-22,GM11,60-79,77
2020-11-22,GM11,80+,88
2020-11-22,GM12,00-04,1
2020-11-22,GM12,00+,78
2020-11-22,GM12,05-14,0
2020-11-22,GM12,15-34,4
2020-11-22,GM12,35-59,15
2020-11-22,GM12,60-79,31
2020-11-22,GM12,80+,27
2020-11-22,GM13,00-04,3
2020-11-22,GM13,00+,711
2020-11-22,GM13,05-14,7
2020-11-22,GM13,15-34,27
2020-11-22,GM13,35-59,97
2020-11-22,GM13,60-79,277
2020-11-22,GM13,80+,300
2020-11-22,GM14,00-04,0
2020-11-22,GM14,00+,168
2020-11-22,GM14,05-14,1
2020-11-22,GM14,15-34,5
2020-11-22,GM14,35-59,37
2020-11-22,GM14,60-79,63
2020-11-22,GM14,80+,62
2020-11-22,GM15,00-04,1
2020-11-22,GM15,00+,253
2020-11-22,GM15,05-14,2
2020-11-22,GM15,15-34,8
2020-11-22,GM15,35-59,26
2020-11-22,GM15,60-79,94
2020-11-22,GM15,80+,122
2020-11-21,GM,00-04,67
2020-11-21,GM,00+,8086
2020-11-21,GM,05-14,47
2020-11-21,GM,15-34,611
2020-11-21,GM,35-59,1682
2020-11-21,GM,60-79,2827
2020-11-21,GM,80+,2852
2020-11-21,GM10,00-04,0
2020-11-21,GM10,00+,97
2020-11-21,GM10,05-14,1
2020-11-21,GM10,15-34,14
2020-11-21,GM10,35-59,28
2020-11-21,GM10,60-79,34
2020-11-21,GM10,80+,20
2020-11-21,GM04,00-04,2
2020-11-21,GM04,00+,141
2020-11-21,GM04,05-14,0
2020-11-21,GM04,15-34,5
2020-11-21,GM04,35-59,36
2020-11-21,GM04,60-79,52
2020-11-21,GM04,80+,46
2020-11-21,GM06,00-04,3
2020-11-21,GM06,00+,398
2020-11-21,GM06,05-14,3
2020-11-21,GM06,15-34,35
2020-11-21,GM06,35-59,94
2020-11-21,GM06,60-79,140
2020-11-21,GM06,80+,123
2020-11-21,GM03,00-04,0
2020-11-21,GM03,00+,60
2020-11-21,GM03,05-14,1
2020-11-21,GM03,15-34,2
2020-11-21,GM03,35-59,16
2020-11-21,GM03,60-79,16
2020-11-21,GM03,80+,25
2020-11-21,GM07,00-04,24
2020-11-21,GM07,00+,1987
2020-11-21,GM07,05-14,10
2020-11-21,GM07,15-34,179
2020-11-21,GM07,35-59,484
2020-11-21,GM07,60-79,673
2020-11-21,GM07,80+,617
2020-11-21,GM05,00-04,13
2020-11-21,GM05,00+,826
2020-11-21,GM05,05-14,2
2020-11-21,GM05,15-34,74
2020-11-21,GM05,35-59,204
2020-11-21,GM05,60-79,274
2020-11-21,GM05,80+,259
2020-11-21,GM08,00-04,2
2020-11-21,GM08,00+,270
2020-11-21,GM08,05-14,1
2020-11-21,GM08,15-34,19
2020-11-21,GM08,35-59,42
2020-11-21,GM08,60-79,108
